data;ricoverati;terapia_intensiva;ospedalizzati;isolamento_domiciliare;totale_positivi;variazione_totale_positivi;nuovi_positivi;guariti;deceduti;totale_casi;tamponi;casi_testati;diff_ricoverati;diff_terapia_intensiva;diff_ospedalizzati;diff_isolamento_domiciliare;diff_totale_positivi;diff_variazione_totale_positivi;diff_nuovi_positivi;diff_guariti;diff_deceduti;diff_totale_casi;diff_tamponi;diff_casi_testati
"2020-02-24";"101";"26";"127";"94";"221";"0";"221";"1";"7";"229";"4324";"";"101";"26";"127";"94";"221";"0";"221";"1";"7";"229";"4324";"0"
"2020-02-25";"114";"35";"150";"162";"311";"90";"93";"1";"10";"322";"8623";"";"13";"9";"23";"68";"90";"90";"-128";"0";"3";"93";"4299";"0"
"2020-02-26";"128";"36";"164";"221";"385";"74";"78";"3";"12";"400";"9587";"";"14";"1";"14";"59";"74";"-16";"-15";"2";"2";"78";"964";"0"
"2020-02-27";"248";"56";"304";"284";"588";"203";"250";"45";"17";"650";"12014";"";"120";"20";"140";"63";"203";"129";"172";"42";"5";"250";"2427";"0"
"2020-02-28";"345";"64";"409";"412";"821";"233";"238";"46";"21";"888";"15695";"";"97";"8";"105";"128";"233";"30";"-12";"1";"4";"238";"3681";"0"
"2020-02-29";"401";"105";"506";"543";"1049";"228";"240";"50";"29";"1128";"18661";"";"56";"41";"97";"131";"228";"-5";"2";"4";"8";"240";"2966";"0"
"2020-03-01";"639";"140";"779";"798";"1577";"528";"566";"83";"34";"1694";"21127";"";"238";"35";"273";"255";"528";"300";"326";"33";"5";"566";"2466";"0"
"2020-03-02";"742";"166";"908";"927";"1835";"258";"342";"149";"52";"2036";"23345";"";"103";"26";"129";"129";"258";"-270";"-224";"66";"18";"342";"2218";"0"
"2020-03-03";"1034";"229";"1263";"1000";"2263";"428";"466";"160";"79";"2502";"25856";"";"292";"63";"355";"73";"428";"170";"124";"11";"27";"466";"2511";"0"
"2020-03-04";"1346";"295";"1641";"1065";"2706";"443";"587";"276";"107";"3089";"29837";"";"312";"66";"378";"65";"443";"15";"121";"116";"28";"587";"3981";"0"
"2020-03-05";"1790";"351";"2141";"1155";"3296";"590";"769";"414";"148";"3858";"32362";"";"444";"56";"500";"90";"590";"147";"182";"138";"41";"769";"2525";"0"
"2020-03-06";"2394";"462";"2856";"1060";"3916";"620";"778";"523";"197";"4636";"36359";"";"604";"111";"715";"-95";"620";"30";"9";"109";"49";"778";"3997";"0"
"2020-03-07";"2651";"567";"3218";"1843";"5061";"1145";"1247";"589";"233";"5883";"42062";"";"257";"105";"362";"783";"1145";"525";"469";"66";"36";"1247";"5703";"0"
"2020-03-08";"3557";"650";"4207";"2180";"6387";"1326";"1492";"622";"366";"7375";"49937";"";"906";"83";"989";"337";"1326";"181";"245";"33";"133";"1492";"7875";"0"
"2020-03-09";"4316";"733";"5049";"2936";"7985";"1598";"1797";"724";"463";"9172";"53826";"";"759";"83";"842";"756";"1598";"272";"305";"102";"97";"1797";"3889";"0"
"2020-03-10";"5038";"877";"5915";"2599";"8514";"529";"977";"1004";"631";"10149";"60761";"";"722";"144";"866";"-337";"529";"-1069";"-820";"280";"168";"977";"6935";"0"
"2020-03-11";"5838";"1028";"6866";"3724";"10590";"2076";"2313";"1045";"827";"12462";"73154";"";"800";"151";"951";"1125";"2076";"1547";"1336";"41";"196";"2313";"12393";"0"
"2020-03-12";"6650";"1153";"7803";"5036";"12839";"2249";"2651";"1258";"1016";"15113";"86011";"";"812";"125";"937";"1312";"2249";"173";"338";"213";"189";"2651";"12857";"0"
"2020-03-13";"7426";"1328";"8754";"6201";"14955";"2116";"2547";"1439";"1266";"17660";"97488";"";"776";"175";"951";"1165";"2116";"-133";"-104";"181";"250";"2547";"11477";"0"
"2020-03-14";"8372";"1518";"9890";"7860";"17750";"2795";"3497";"1966";"1441";"21157";"109170";"";"946";"190";"1136";"1659";"2795";"679";"950";"527";"175";"3497";"11682";"0"
"2020-03-15";"9663";"1672";"11335";"9268";"20603";"2853";"3590";"2335";"1809";"24747";"124899";"";"1291";"154";"1445";"1408";"2853";"58";"93";"369";"368";"3590";"15729";"0"
"2020-03-16";"11025";"1851";"12876";"10197";"23073";"2470";"3233";"2749";"2158";"27980";"137962";"";"1362";"179";"1541";"929";"2470";"-383";"-357";"414";"349";"3233";"13063";"0"
"2020-03-17";"12894";"2060";"14954";"11108";"26062";"2989";"3526";"2941";"2503";"31506";"148657";"";"1869";"209";"2078";"911";"2989";"519";"293";"192";"345";"3526";"10695";"0"
"2020-03-18";"14363";"2257";"16620";"12090";"28710";"2648";"4207";"4025";"2978";"35713";"165541";"";"1469";"197";"1666";"982";"2648";"-341";"681";"1084";"475";"4207";"16884";"0"
"2020-03-19";"15757";"2498";"18255";"14935";"33190";"4480";"5322";"4440";"3405";"41035";"182777";"";"1394";"241";"1635";"2845";"4480";"1832";"1115";"415";"427";"5322";"17236";"0"
"2020-03-20";"16020";"2655";"18675";"19185";"37860";"4670";"5986";"5129";"4032";"47021";"206886";"";"263";"157";"420";"4250";"4670";"190";"664";"689";"627";"5986";"24109";"0"
"2020-03-21";"17708";"2857";"20565";"22116";"42681";"4821";"6557";"6072";"4825";"53578";"233222";"";"1688";"202";"1890";"2931";"4821";"151";"571";"943";"793";"6557";"26336";"0"
"2020-03-22";"19846";"3009";"22855";"23783";"46638";"3957";"5560";"7024";"5476";"59138";"258402";"";"2138";"152";"2290";"1667";"3957";"-864";"-997";"952";"651";"5560";"25180";"0"
"2020-03-23";"20692";"3204";"23896";"26522";"50418";"3780";"4789";"7432";"6077";"63927";"275468";"";"846";"195";"1041";"2739";"3780";"-177";"-771";"408";"601";"4789";"17066";"0"
"2020-03-24";"21937";"3396";"25333";"28697";"54030";"3612";"5249";"8326";"6820";"69176";"296964";"";"1245";"192";"1437";"2175";"3612";"-168";"460";"894";"743";"5249";"21496";"0"
"2020-03-25";"23112";"3489";"26601";"30920";"57521";"3491";"5210";"9362";"7503";"74386";"324445";"";"1175";"93";"1268";"2223";"3491";"-121";"-39";"1036";"683";"5210";"27481";"0"
"2020-03-26";"24753";"3612";"28365";"33648";"62013";"4492";"6153";"10361";"8165";"80539";"361060";"";"1641";"123";"1764";"2728";"4492";"1001";"943";"999";"662";"6153";"36615";"0"
"2020-03-27";"26029";"3732";"29761";"36653";"66414";"4401";"5959";"10950";"9134";"86498";"394079";"";"1276";"120";"1396";"3005";"4401";"-91";"-194";"589";"969";"5959";"33019";"0"
"2020-03-28";"26676";"3856";"30532";"39533";"70065";"3651";"5974";"12384";"10023";"92472";"429526";"";"647";"124";"771";"2880";"3651";"-750";"15";"1434";"889";"5974";"35447";"0"
"2020-03-29";"27386";"3906";"31292";"42588";"73880";"3815";"5217";"13030";"10779";"97689";"454030";"";"710";"50";"760";"3055";"3815";"164";"-757";"646";"756";"5217";"24504";"0"
"2020-03-30";"27795";"3981";"31776";"43752";"75528";"1648";"4050";"14620";"11591";"101739";"477359";"";"409";"75";"484";"1164";"1648";"-2167";"-1167";"1590";"812";"4050";"23329";"0"
"2020-03-31";"28192";"4023";"32215";"45420";"77635";"2107";"4053";"15729";"12428";"105792";"506968";"";"397";"42";"439";"1668";"2107";"459";"3";"1109";"837";"4053";"29609";"0"
"2020-04-01";"28403";"4035";"32438";"48134";"80572";"2937";"4782";"16847";"13155";"110574";"541423";"";"211";"12";"223";"2714";"2937";"830";"729";"1118";"727";"4782";"34455";"0"
"2020-04-02";"28540";"4053";"32593";"50456";"83049";"2477";"4668";"18278";"13915";"115242";"581232";"";"137";"18";"155";"2322";"2477";"-460";"-114";"1431";"760";"4668";"39809";"0"
"2020-04-03";"28741";"4068";"32809";"52579";"85388";"2339";"4585";"19758";"14681";"119827";"619849";"";"201";"15";"216";"2123";"2339";"-138";"-83";"1480";"766";"4585";"38617";"0"
"2020-04-04";"29010";"3994";"33004";"55270";"88274";"2886";"4805";"20996";"15362";"124632";"657224";"";"269";"-74";"195";"2691";"2886";"547";"220";"1238";"681";"4805";"37375";"0"
"2020-04-05";"28949";"3977";"32926";"58320";"91246";"2972";"4316";"21815";"15887";"128948";"691461";"";"-61";"-17";"-78";"3050";"2972";"86";"-489";"819";"525";"4316";"34237";"0"
"2020-04-06";"28976";"3898";"32874";"60313";"93187";"1941";"3599";"22837";"16523";"132547";"721732";"";"27";"-79";"-52";"1993";"1941";"-1031";"-717";"1022";"636";"3599";"30271";"0"
"2020-04-07";"28718";"3792";"32510";"61557";"94067";"880";"3039";"24392";"17127";"135586";"755445";"";"-258";"-106";"-364";"1244";"880";"-1061";"-560";"1555";"604";"3039";"33713";"0"
"2020-04-08";"28485";"3693";"32178";"63084";"95262";"1195";"3836";"26491";"17669";"139422";"807125";"";"-233";"-99";"-332";"1527";"1195";"315";"797";"2099";"542";"3836";"51680";"0"
"2020-04-09";"28399";"3605";"32004";"64873";"96877";"1615";"4204";"28470";"18279";"143626";"853369";"";"-86";"-88";"-174";"1789";"1615";"420";"368";"1979";"610";"4204";"46244";"0"
"2020-04-10";"28242";"3497";"31739";"66534";"98273";"1396";"3951";"30455";"18849";"147577";"906864";"";"-157";"-108";"-265";"1661";"1396";"-219";"-253";"1985";"570";"3951";"53495";"0"
"2020-04-11";"28144";"3381";"31525";"68744";"100269";"1996";"4694";"32534";"19468";"152271";"963473";"";"-98";"-116";"-214";"2210";"1996";"600";"743";"2079";"619";"4694";"56609";"0"
"2020-04-12";"27847";"3343";"31190";"71063";"102253";"1984";"4092";"34211";"19899";"156363";"1010193";"";"-297";"-38";"-335";"2319";"1984";"-12";"-602";"1677";"431";"4092";"46720";"0"
"2020-04-13";"28023";"3260";"31283";"72333";"103616";"1363";"3153";"35435";"20465";"159516";"1046910";"";"176";"-83";"93";"1270";"1363";"-621";"-939";"1224";"566";"3153";"36717";"0"
"2020-04-14";"28011";"3186";"31197";"73094";"104291";"675";"2972";"37130";"21067";"162488";"1073689";"";"-12";"-74";"-86";"761";"675";"-688";"-181";"1695";"602";"2972";"26779";"0"
"2020-04-15";"27643";"3079";"30722";"74696";"105418";"1127";"2667";"38092";"21645";"165155";"1117404";"";"-368";"-107";"-475";"1602";"1127";"452";"-305";"962";"578";"2667";"43715";"0"
